0	1337192
1	1347460
-1	1323269
10	1445639
-10	1227467
-100	248
11	1456539
-11	1222223
12	1466365
-12	1211321
13	1479374
-13	1202170
14	1490812
-14	1192460
15	1500687
-15	1182474
16	1511688
-16	1172481
17	1521946
-17	1162299
18	1531540
-18	1152398
19	1541942
-19	1143334
2	1357979
-2	1314260
20	1552521
-20	1132840
21	1561953
-21	1122623
22	1570331
-22	1114040
23	1580453
-23	1104211
24	1589289
-24	1093174
25	1595906
-25	1084821
26	1603708
-26	1076593
27	1612883
-27	1062432
28	1617951
-28	1054336
29	1627088
-29	1043566
3	1368728
-3	1302347
30	1632365
-30	1033435
31	1641619
-31	1023043
32	1644695
-32	1012341
33	1651928
-33	1001829
34	1661833
-34	992176
35	1665387
-35	978850
36	1669071
-36	969514
37	1673744
-37	957101
38	1677614
-38	946017
39	1682895
-39	934726
4	1380297
-4	1292798
40	1688337
-40	925314
41	1691253
-41	913776
42	1694556
-42	902085
43	1697670
-43	890341
44	1698145
-44	879817
45	1703280
-45	867853
46	1704917
-46	856179
47	1705531
-47	844029
48	1706579
-48	833030
49	1709060
-49	820793
5	1391199
-5	1280709
50	1707441
-50	808858
51	1707941
-51	799454
52	1711417
-52	786759
53	1708390
-53	773229
54	1708031
-54	763313
55	1706692
-55	751642
56	1702760
-56	740724
57	1700756
-57	729713
58	1699319
-58	716319
59	1696422
-59	703838
6	1401213
-6	1273264
60	1690056
-60	692404
61	1688189
-61	682171
62	1680971
-62	670629
63	1674556
-63	658567
64	1666188
-64	648204
65	1655572
-65	635633
66	1644900
-66	624500
67	1633947
-67	614127
68	1622915
-68	601554
69	1605271
-69	590451
7	1414612
-7	1259200
70	1590417
-70	579372
71	1571018
-71	567870
72	1552994
-72	558494
73	1525778
-73	548585
74	1502639
-74	535172
75	1470811
-75	524356
76	1439811
-76	513280
77	1402845
-77	502696
78	1363687
-78	491609
79	1323464
-79	480325
8	1424324
-8	1249246
80	1278176
-80	467469
81	1225961
-81	456539
82	1170768
-82	444207
83	1111870
-83	431010
84	1048143
-84	417171
85	982804
-85	402450
86	908858
-86	387701
87	834384
-87	370475
88	757008
-88	354564
89	674479
-89	334599
9	1438618
-9	1239674
90	589262
-90	315723
91	497057
-91	295052
92	402309
-92	273233
93	306397
-93	248602
94	213322
-94	222340
95	132005
-95	191801
96	67938
-96	156729
97	27173
-97	114657
98	8114
-98	66053
99	1989
-99	19063
